Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0x20F3566eb95034E9e90D59f266D3Dd4C8128B169	69	0	0	0	0	69	69	
0x475c4f56764eb8CE137d17aF541A6B57A165448A	66	0	0	65	0	1	66	
0xCEF0E56B84aD7d5bE9edCB7Faf66f85AE83942A4	64	1	0	64	0	0	64	
0xeE3F16B8bCf2492571A2a27BABa8159ef935a8aC	65	0	0	65	0	0	65	
0xf039e5291859d1a0b1095A2840631E8eBc00cE14	64	0	0	64	0	0	64	
0x591326490AD6dAdB80116B04Ddd521e57bA22e2c	64	0	0	64	0	0	64	
0x8c8B97c3870C0307A57cab3d47f4F5Ca24EeE137	64	0	0	0	0	64	64	
0x5b97d8182B3f7f0b5238F48D210E8D75eCBf72bb	64	0	0	0	0	64	64	
0xf039e5291859d1a0b1095A2840631E8eBc00cE14	64	0	0	64	0	0	64	
0x25A34b7f2533761A0EEa417D4613b54861278E79	64	0	0	3	0	61	64	
0x884898480d7a1223ec55Cb1aBA92DBd46A643744	63	0	0	63	0	0	63	
0xf22f8705A3e6E0F496553d98Cfa6AD950E6796EF	61	0	0	61	0	0	61	
0x395d48020EF5e29168706e16258db6c6c4D7d317	61	0	0	50	0	11	61	
0x6133A0749fec7A7FF299E3aA2B75cf7339b3E717	60	0	0	60	0	0	60	
0xE300a7f49b1b7134d0E69d6C1f85878A0DCd5083	60	0	0	0	0	60	60	
0x27ad16dC7748adfa03B29665b417BD0C116cdF48	60	0	0	60	0	0	60	
0x3f46d5c350959361d9CFE71C03dDb3caa3CC93B4	60	0	0	60	0	0	60	
0xdec0DED0606B7d0560ADEBD6C3a919a671dB4D66	60	0	0	0	0	60	60	
0x92A0b2C089733beF43Ac367D2CE7783526AEA590	60	0	0	0	0	60	60	
0x2F805f22b8843925dAA98db919D4422e67BEBfCF	59	0	0	59	0	0	59	
0xaE74c11eb5633d2e2c404625e3fb557c7daCF4AA	59	0	0	0	0	59	59	
0xe916Ad4CE7A5558e84d2924D13Cee50299c02446	59	0	0	59	0	0	59	
0x8f05f1dD1bb79078C6bAF8B78Df8586d2F4BB15a	59	0	0	0	0	59	59	
